n,t(n),sqrt(n)*1.63995681e+08,,lg(n)*4.66877021e+09,,n*504448.70675107,,n*lg(n)*30059.654101,,N^2*4.00021115,,N^3*2.73564568e-05,,n!
39109,6119086879,32431778577,6.92358E+20,71223084128,4.23853E+21,19728484472,1.85216E+20,17934074387,1.39594E+20,6118378481,5.01828E+11,1636401923,2.00945E+19,
43019,7411408947,34014380528,7.07718E+20,71864915569,4.15425E+21,21700878916,2.04189E+20,19904840878,1.56086E+20,7402928205,7.1923E+13,2177914264,2.73895E+19,
47320,8966763768,35674244012,7.1329E+20,72506759818,4.03733E+21,23870512803,2.22122E+20,22090457659,1.72231E+20,8957202403,9.14197E+13,2898638491,3.68221E+19,
52052,10838844884,37415462772,7.06317E+20,73148732174,3.88252E+21,26257564084,2.37737E+20,24514650392,1.87028E+20,10838214908,3.9687E+11,3858087831,4.8731E+19,
57257,13124778379,39241599878,6.82088E+20,73790681001,3.68035E+21,28883219602,2.48328E+20,27202673402,1.98187E+20,13114148423,1.12996E+14,5135061093,6.38356E+19,
62982,15881864296,41156708455,6.38818E+20,74432578496,3.42819E+21,31771188449,2.52471E+20,30182901844,2.0452E+20,15867766872,1.98737E+14,6834538429,8.18541E+19,
69280,19188506984,43165457684,5.74894E+20,75074531407,3.12325E+21,34948206404,2.48368E+20,33487443112,2.0446E+20,19199887061,1.29506E+14,9096691866,1.01845E+20,
76208,23215407248,45272313954,4.86507E+20,75716503762,2.75637E+21,38443027044,2.3188E+20,37151178587,1.94206E+20,23231863343,2.70803E+14,12107696874,1.23381E+20,
83828,28107818880,47481776885,3.7535E+20,76358411838,2.32812E+21,42286926190,2.01047E+20,41212358728,1.71729E+20,28110018115,4.83664E+12,16114883165,1.43831E+20,
92210,34015943236,49799091699,2.49108E+20,77000325756,1.84766E+21,46515215250,1.56232E+20,45714298967,1.36852E+20,34012531742,1.16383E+13,21448351240,1.57944E+20,
101431,41112875211,52229728005,1.23584E+20,77642298112,1.3344E+21,51166736774,1.0108E+20,50704974464,9.20084E+19,41155163408,1.78829E+15,28547755500,1.57882E+20,
111574,49806947092,54778976321,2.47211E+19,78284264430,8.10958E+20,56283360007,4.19439E+19,56236587332,4.13403E+19,49797658459,8.62787E+13,37996960404,1.39476E+20,
122731,60266057407,57452581436,7.91565E+18,78926214833,3.48201E+20,61911494228,2.70746E+18,62367312175,4.41527E+18,60254773975,1.27316E+14,50573459815,9.39464E+19,
135004,72947282104,60256753443,1.6105E+20,79568182199,4.38363E+19,68102593206,2.3471E+19,69162001401,1.43283E+19,72908168501,1.52987E+15,67313125434,3.17437E+19,
148504,88201852992,63197731061,6.25206E+20,80210136412,6.38675E+19,74912650747,1.76603E+20,76691792101,1.32482E+20,88218408647,2.7409E+14,89593045986,1.93542E+18,
163354,1.06738E+11,66282258369,1.63665E+21,80852092275,6.70069E+20,82403714043,5.92147E+20,85035939847,4.7097E+20,1.06744E+11,3.56099E+13,1.19247E+11,1.56492E+20,
,,,,,,,,,,,,,,
,MSE,,2.49614E+20,,2.76263E+21,,6.18614E+19,,4.77452E+19,,6.96298E+13,,2.05514E+19,
